id,name,locality,country,region,tier,category,lat,lon,seaTempC,bestMonths,sand,water,swimming,surf,setting,blueFlag,tags,description,url
es-trenc-es,Es Trenc,"Mallorca, Balearics",ES,Europe,2,wild,39.348,2.981,26,Jun-Sep,Pale white sand,"Shallow, clear turquoise","Shallow, warm and calm along a long undeveloped strand",None,"Mallorca's longest natural beach, backed by dunes, pines and salt pans",false,undeveloped|dunes|salt pans,Mallorca's great undeveloped beach — three kilometres of white sand and Caribbean shallows backed by dunes and salt flats.,https://europebeachmap.com/beaches/es-trenc-es/
platja-de-migjorn-es,Platja de Migjorn,"Formentera, Balearics",ES,Europe,2,tropical,38.687,1.437,26,Jun-Sep,Fine white sand,"Shallow, luminous turquoise","Warm, shallow and calm the length of the island's south shore",None,Formentera's long south-coast beach of dunes and beach bars,false,turquoise|long|chiringuitos,"Formentera's endless south shore, kilometres of white sand and luminous shallows dotted with barefoot beach bars.",https://europebeachmap.com/beaches/platja-de-migjorn-es/
playa-de-benijo-es,Playa de Benijo,"Taganana, Tenerife",ES,Europe,2,exotic,28.5721,-16.1925,23,May-Oct,Black volcanic sand and boulders,Deep blue and powerful Atlantic,"Strong waves and currents, caution advised",Heavy beach break at times,The jagged Anaga massif and offshore rock islets,false,black sand|dramatic|sunset|tenerife,"A wild black-sand beach beneath the primeval Anaga mountains, famed for its silhouetted rock stacks at sunset.",https://europebeachmap.com/beaches/playa-de-benijo-es/
playa-de-bolonia-es,Playa de Bolonia,"Tarifa, Costa de la Luz",ES,Europe,2,wild,36.0892,-5.7715,22,Jun-Sep,Broad white Atlantic sand with a colossal dune,"Cool, clear Atlantic blue-green","Open Atlantic, breezy, watch for currents",None,A 30m shifting dune and the Roman ruins of Baelo Claudia,false,dune|atlantic|roman ruins|windy,A wild Atlantic sweep backed by a towering sand dune and the ruins of a Roman town.,https://europebeachmap.com/beaches/playa-de-bolonia-es/
playa-de-calblanque-es,Playa de Calblanque,"Cartagena, Murcia",ES,Europe,2,wild,37.6037,-0.7298,26,Jun-Sep,Dark-gold sand below crumbling fossil dunes,"Clear blue, often with a light shorebreak","Open-sea feel; lovely on calm days, punchy when the levante blows",Small windswell waves on easterly days,Inside a protected regional park of fossil dunes and arid hills; summer access is by shuttle bus from Los Belones,false,protected park|fossil dunes|undeveloped,The Costa Cálida before the cranes came — dark-gold sand and fossil dunes in a jealously guarded park.,https://europebeachmap.com/beaches/playa-de-calblanque-es/
playa-de-cofete-es,Playa de Cofete,"Jandia, Fuerteventura",ES,Europe,2,wild,28.1096,-14.3884,23,May-Oct,Endless wild golden sand,"Wild Atlantic, deep blue","Dangerous currents, not for swimming","Powerful, unpatrolled beach break",A 12km beach below the towering Jandia massif,false,remote|wild|untamed|fuerteventura,"A vast, untamed 12-kilometre strand beneath brooding mountains, reached only by a rough dirt track.",https://europebeachmap.com/beaches/playa-de-cofete-es/
playa-de-el-palmar-es,Playa de El Palmar,"Vejer de la Frontera, Cádiz",ES,Europe,2,surf,36.2245,-6.0668,23,Jun-Sep,"A long, straight band of golden sand backed by low dunes and farmland",Clear Atlantic blue-green,Fine between the flags on small days; rips form near the peaks when swell runs,"Andalusia's most consistent beach break — mellow peaks, best on autumn and winter swells","A low-rise strip of surf schools and sunset chiringuitos on the Costa de la Luz, still fronted by fields",false,surf schools|beach bars|sunsets,Andalusia's surf village — an unbroken sandy beach break with chiringuito sunsets and no high-rises.,https://europebeachmap.com/beaches/playa-de-el-palmar-es/
playa-de-famara-es,Playa de Famara,"Lanzarote, Canary Islands",ES,Europe,2,surf,29.118,-13.559,23,Year-round,Golden sand,"Clear Atlantic blue, cooler",Strong currents — better for surfing than swimming,"Consistent Atlantic beach-break, Lanzarote's surf heartland",A vast beach beneath a 600-metre cliff wall on Lanzarote's north-west,false,surf|cliffs|wild,"A wild, wind-scoured strand under a towering cliff wall — the raw Atlantic surf capital of Lanzarote.",https://europebeachmap.com/beaches/playa-de-famara-es/
playa-de-gulpiyuri-es,Playa de Gulpiyuri,"Llanes, Asturias",ES,Europe,2,exotic,43.4454,-4.887,21,Jun-Sep,A small crescent of fine white sand,"Cool and clear, fed by the sea through caves","Shallow tidal pool, calmest at high tide",None,An inland meadow 100m from the open sea,false,inland beach|sinkhole|natural monument|tiny,"A tiny inland beach set in a green meadow, filled by the sea through underground caves.",https://europebeachmap.com/beaches/playa-de-gulpiyuri-es/
playa-de-la-barrosa-es,Playa de la Barrosa,"Chiclana de la Frontera, Cádiz",ES,Europe,2,resort,36.3431,-6.1731,23,Jun-Sep,"Kilometres of fine pale-gold sand, vast at low tide","Clean mid-blue Atlantic, brisker than the Med",Long shallow shelf with playful rollers; well lifeguarded in season,Gentle beach break for bodyboards and beginner foamies,"Dunes and pine woods behind the Novo end, with the island castle of Sancti Petri floating off the north tip",true,dunes|family|long beach,Cádiz's summer favourite — miles of firm golden sand gazing at the castle islet of Sancti Petri.,https://europebeachmap.com/beaches/playa-de-la-barrosa-es/
playa-concha-cotillo-es,Playa de la Concha (El Cotillo),"El Cotillo, Fuerteventura",ES,Europe,2,tropical,28.6855,-14.013,23,Year-round,Pale golden sand in a scallop-shaped bay,"Calm, clear turquoise inside a sheltering reef","Calm and shallow — a natural lagoon pool, the safest swim on breezy Fuerteventura",None inside the lagoon,A sheltered lagoon held behind rock bars on the wild north-west coast at El Cotillo,false,lagoon|turquoise|sheltered|el cotillo,A scallop of turquoise held calm behind a reef at El Cotillo — the sheltered swim on breezy Fuerteventura.,https://europebeachmap.com/beaches/playa-concha-cotillo-es/
playa-de-las-canteras-es,Playa de Las Canteras,"Las Palmas, Gran Canaria",ES,Europe,2,resort,28.143,-15.437,23,Year-round,Golden sand,"Calm, clear blue behind a natural reef","Calm and shallow, sheltered by a natural offshore rock bar",Gentle waves at the reef's end,Las Palmas's three-kilometre urban beach behind the La Barra reef,true,city beach|reef|promenade,One of Europe's finest city beaches — a golden arc protected by a natural reef along the promenade of Las Palmas.,https://europebeachmap.com/beaches/playa-de-las-canteras-es/
playa-de-las-teresitas-es,Playa de las Teresitas,"San Andres, Tenerife",ES,Europe,2,resort,28.5103,-16.1868,23,Year-round,"Golden Saharan sand, shipped in by the tonne","Calm and clear, protected by a breakwater","Very calm and safe, a true family beach",None,A palm-lined bay below the Anaga mountains,true,golden sand|palm-lined|calm|tenerife,"Tenerife's golden showpiece, a palm-lined bay of Saharan sand sheltered by an offshore breakwater.",https://europebeachmap.com/beaches/playa-de-las-teresitas-es/
playa-de-los-genoveses-es,Playa de los Genoveses,"Cabo de Gata, Almería",ES,Europe,2,wild,36.759,-2.113,25,May-Oct,Fine golden sand,"Clear, shallow turquoise","Shallow, warm and calm in the wide protected bay",None,A wild dune-backed bay in the volcanic Cabo de Gata desert park,false,volcanic park|dunes|undeveloped,"A broad, undeveloped bay of golden sand and clear shallows ringed by the volcanic hills of Cabo de Gata's desert park.",https://europebeachmap.com/beaches/playa-de-los-genoveses-es/
playa-de-los-muertos-es,Playa de los Muertos,"Carboneras, Almería",ES,Europe,2,wild,36.9536,-1.8985,26,Jun-Sep,A mile of polished white-grey pebbles sloping steeply to the sea,"Glassy, gin-clear blue — among Spain's clearest",Superb clarity but a sharp drop-off and slapping shorebreak; no lifeguards,None,"Below cliffs south of Carboneras on the Cabo de Gata coast, a steep fifteen-minute path down from the viewpoint car parks",false,pebbles|crystal water|steep path|no facilities,"Almería's mile of white gravel and glass-clear sea, kept honest by the climb back up.",https://europebeachmap.com/beaches/playa-de-los-muertos-es/
playa-de-papagayo-es,Playa de Papagayo,"Playa Blanca, Lanzarote",ES,Europe,2,tropical,28.8425,-13.7881,23,Year-round,Fine golden sand,Clear turquoise and sheltered,Calm and clear in a sheltered cove,None,The protected Los Ajaches volcanic cliffs,false,turquoise|protected cove|volcanic|lanzarote,A string of sheltered golden coves and turquoise water tucked into Lanzarote's protected southern cliffs.,https://europebeachmap.com/beaches/playa-de-papagayo-es/
playa-de-rodiles-es,Playa de Rodiles,"Villaviciosa, Asturias",ES,Europe,2,surf,43.5339,-5.3802,21,Jun-Sep,A wide fawn-sand sweep at the mouth of the Villaviciosa estuary,"Cool, clean Cantabrian green-blue",Good bathing off the main sand in summer; keep clear of the estuary channel's tidal currents,Asturias' marquee wave — a fast river-mouth left that lights up on autumn swells,Eucalyptus and pine groves with boardwalk paths inside the Ría de Villaviciosa reserve,false,river mouth|eucalyptus|boardwalks,Asturias' surf temple — a river-mouth left peeling off the Villaviciosa estuary under eucalyptus woods.,https://europebeachmap.com/beaches/playa-de-rodiles-es/
playa-de-sotavento-es,Playa de Sotavento,"Jandía, Fuerteventura",ES,Europe,2,surf,28.128,-14.221,23,Year-round,Pale golden sand,Clear turquoise over a vast lagoon at high tide,Shallow lagoon at high tide; strong wind and currents otherwise,World-class windsurf and kite spot; big open Atlantic swell,A colossal dune-and-lagoon beach on Fuerteventura's south-east,false,windsurf|lagoon|dunes,A colossal Atlantic beach where a shallow turquoise lagoon forms at high tide — one of the world's great windsurfing arenas.,https://europebeachmap.com/beaches/playa-de-sotavento-es/
playa-de-valdevaqueros-es,Playa de Valdevaqueros,"Tarifa, Cádiz",ES,Europe,2,surf,36.075,-5.703,22,Year-round,Pale golden sand and a giant dune,"Clear, cool Atlantic blue",Strong Levante wind and currents; a kiter's beach,Europe's premier kitesurf and windsurf beach on the Strait of Gibraltar,A vast dune and windswept sands with Africa on the horizon,false,kitesurf|dune|strait,"A windswept Atlantic strand and towering dune at Europe's tip, where kitesurfers fly with Morocco across the strait.",https://europebeachmap.com/beaches/playa-de-valdevaqueros-es/
zahara-de-los-atunes-es,Playa de Zahara de los Atunes,"Cádiz, Costa de la Luz",ES,Europe,2,wild,36.13,-5.85,22,Jun-Sep,"A broad, wild ribbon of golden Atlantic sand","Clear, cool Atlantic blue",Open and breezy with gentle shelving; levante wind some days,None,An old tuna-fishing village on the windswept Costa de la Luz,false,tuna village|costa de la luz|unspoilt,The Costa de la Luz at its purest — a wild golden ribbon beside an old tuna-fishing village.,https://europebeachmap.com/beaches/zahara-de-los-atunes-es/
playa-del-duque-es,Playa del Duque,"Costa Adeje, Tenerife",ES,Europe,2,resort,28.0914,-16.7443,23,May-Oct,"Fine pale-golden sand, groomed daily below the five-star terraces","Calm, clear blue","Sheltered and gently shelving, with lifeguards and flags in season",None,"Costa Adeje's most polished bay, lined with thatched parasols, boardwalk boutiques and the Bahía del Duque hotel",true,five-star|calm water|boardwalk,Tenerife's most manicured beach — blond sand and straw parasols beneath the Bahía del Duque.,https://europebeachmap.com/beaches/playa-del-duque-es/
playa-del-postiguet-es,Playa del Postiguet,"Alicante, Costa Blanca",ES,Europe,2,resort,38.3435,-0.478,26,May–Oct,Soft golden sand in the heart of the city,"Calm, warm Mediterranean blue","Calm, shallow and lifeguarded — Alicante's easy city swim",None,Alicante's palm-lined city beach directly below the Santa Bárbara castle,true,city beach|palm promenade|castle|family,"Alicante's golden city beach, curving below the Santa Bárbara castle beside a palm-lined promenade.",https://europebeachmap.com/beaches/playa-del-postiguet-es/
playa-del-sardinero-es,Playa del Sardinero,"Santander, Cantabria",ES,Europe,2,resort,43.47,-3.78,22,Jun-Sep,A grand sweep of fine golden sand,"Cool, clean Cantabrian blue",Lively but guarded; belle-époque bathing tradition,Reliable beginner beach-break in autumn,Santander's belle-époque seafront of casinos and gardens,true,belle époque|city beach|cantabria,Royal-era Santander on parade — a grand golden city beach below the casino and gardens of El Sardinero.,https://europebeachmap.com/beaches/playa-del-sardinero-es/
playa-del-silencio-es,Playa del Silencio,"Cudillero, Asturias",ES,Europe,2,wild,43.5666,-6.296,20,Jun-Sep,White pebbles and coarse sand,"Cold, exceptionally clear turquoise-green","Chilly, rocky entry and no services",None,A curved amphitheatre of green cliffs and offshore rock needles,false,dramatic|cliffs|remote|asturias,"A silent, cliff-ringed amphitheatre of pebbles and sea stacks on Asturias' wild Cantabrian coast.",https://europebeachmap.com/beaches/playa-del-silencio-es/
a-lanzada-es,Praia da Lanzada,"O Grove, Galicia",ES,Europe,2,wild,42.428,-8.874,17,Jun-Sep,Two kilometres of fine white Atlantic sand,"Cold, clean, glass-green Atlantic",Bracing but gentle on calm days; a fertility-rite chapel at one end,Beach-break when the swell runs,A dune-backed arc on the Rías Baixas with a 12th-century hermitage,true,rías baixas|hermitage|dunes,Galicia's great white arc — two kilometres of cold clean Atlantic beside a hermitage of fertility legends.,https://europebeachmap.com/beaches/a-lanzada-es/
sa-calobra-es,Sa Calobra (Torrent de Pareis),"Escorca, Mallorca",ES,Europe,2,wild,39.8522,2.8057,26,Jun-Sep,Pale pebbles and coarse sand at the canyon mouth,Deep sapphire between 200-metre gorge walls,Startlingly clear and quickly deep; dangerous when north swells push in,None,"Where Mallorca's greatest gorge splits the Tramuntana, reached through rock tunnels from Sa Calobra hamlet or by boat from Port de Sóller",false,gorge|boat access|pebbles|hairpin road,The Tramuntana's dramatic full stop — a pebble cove where the Torrent de Pareis canyon empties into sapphire sea.,https://europebeachmap.com/beaches/sa-calobra-es/
tossa-de-mar-es,Tossa de Mar,Costa Brava,ES,Europe,2,resort,41.719,2.932,25,Jun-Sep,Coarse golden sand,Clear blue,Sheltered and calm below the walled headland,None,A crescent beneath a medieval walled old town and its clifftop castle,true,walled town|castle|old town,A golden crescent beneath the honey-coloured medieval walls and clifftop tower that make Tossa the Costa Brava's icon.,https://europebeachmap.com/beaches/tossa-de-mar-es/
zarautz-es,Zarautz,Basque Country,ES,Europe,2,surf,43.286,-2.171,22,Year-round,Golden sand,"Cool, clear Cantabrian blue",Lively Atlantic swell; lifeguarded swimming zones,The Basque coast's longest beach-break and a surf-town institution,The Basque Country's longest beach along a lively surf-and-pintxo town,true,surf|promenade|basque,The Basque coast's longest beach — a golden surf strand fronting a promenade of pintxo bars and board shops.,https://europebeachmap.com/beaches/zarautz-es/
cala-benirras-es,Cala Benirràs,"Ibiza, Balearics",ES,Europe,3,wild,39.104,1.459,26,May-Oct,Coarse golden sand and pebbles,Clear blue-green,Sheltered and clear in the deep-cut bay,None,A cliff-ringed northern bay famous for Sunday sunset drum circles,false,drums|sunset|bohemian,"Ibiza's bohemian heart, a cliff-ringed northern cove where crowds gather each Sunday to drum the sun down.",https://europebeachmap.com/beaches/cala-benirras-es/
cala-pregonda-es,Cala Pregonda,"Menorca, Balearics",ES,Europe,3,wild,40.038,4.087,26,Jun-Sep,Reddish-gold sand,Clear green-blue,Sheltered and calm behind offshore rock islets,None,"A Mars-red cove on Menorca's wild north coast, reached on a long walk",false,red rocks|remote|hike-in,"A wild, Mars-red cove on Menorca's rugged north coast, its ochre rock islets rising from clear green water.",https://europebeachmap.com/beaches/cala-pregonda-es/
cala-salada-es,Cala Salada,"Sant Antoni, Ibiza",ES,Europe,3,tropical,39.0097,1.2992,26,Jun-Sep,Golden sand with rocky edges,Clear emerald-turquoise,Calm and sheltered bay,None,"Red cliffs, pines and old fishermen's boat huts",false,turquoise|cove|fishing huts|ibiza,A sheltered emerald cove ringed by red cliffs and old fishermen's huts north of Sant Antoni.,https://europebeachmap.com/beaches/cala-salada-es/
platja-de-castell-es,Platja de Castell,"Palamós, Costa Brava",ES,Europe,3,wild,41.869,3.176,24,Jun-Sep,Coarse golden sand,Clear blue-green,Clean and calm in the sheltered bay,None,"One of the Costa Brava's last undeveloped bays, saved by referendum",false,undeveloped|coves|Iberian ruins,The Costa Brava's great unspoilt bay — pine-backed sand and hidden coves that locals voted to save from developers.,https://europebeachmap.com/beaches/platja-de-castell-es/
cuevas-del-mar-es,Playa de Cuevas del Mar,"Nueva de Llanes, Asturias",ES,Europe,3,exotic,43.446,-4.93,21,Jun-Sep,Pale sand threaded between eroded rock arches,"Clear, cool Cantabrian water",Sheltered pools at low tide between the arches,None,A cove of wave-carved arches and caves on the Llanes coast,false,arches|caves|llanes,"A geology lesson you can swim in — arches, tunnels and caves carved through an Asturian cove.",https://europebeachmap.com/beaches/cuevas-del-mar-es/
playa-de-guigui-es,Playa de Güigüí,"La Aldea de San Nicolás, Gran Canaria",ES,Europe,3,wild,27.9453,-15.8278,23,May-Oct,"Dark volcanic grey-gold sand, broadest at low tide","Deep, clear Atlantic blue",Open-ocean swell and shore dump; only sensible on calm days,None,A roadless west-coast nature reserve reached by a three-hour ridge hike from Tasartico or by boat from La Aldea,false,hike-in|boat access|volcanic sand|no facilities,"Gran Canaria's last wild shore — dark sand under kilometre-high cliffs, earned by boot or boat.",https://europebeachmap.com/beaches/playa-de-guigui-es/
playa-de-laga-es,Playa de Laga,"Ibarrangelu, Urdaibai",ES,Europe,3,surf,43.407,-2.655,22,Jun-Sep,Fine golden sand beneath the Ogoño headland,"Clean, green-blue Cantabrian water",Swim the sheltered corner; the middle catches swell,"A consistent, prettier-than-Mundaka beach-break","The Urdaibai biosphere reserve, with the great Ogoño cliff at one end",false,urdaibai|headland|basque,"The Basque coast in one frame — golden sand, green hills and surf beneath the mighty Ogoño headland.",https://europebeachmap.com/beaches/playa-de-laga-es/
playa-de-las-conchas-es,Playa de las Conchas,La Graciosa,ES,Europe,3,wild,29.2755,-13.5235,23,May-Oct,Golden sand flecked with shells,Vivid turquoise but rough,"Strong currents, swimming discouraged",None,"Beneath red Montana Bermeja, facing wild islets",false,turquoise|remote island|red mountain|wild,"A dazzling turquoise-and-gold beach on car-free La Graciosa, wild and windswept below a red volcano.",https://europebeachmap.com/beaches/playa-de-las-conchas-es/
playa-de-torimbia-es,Playa de Torimbia,"Llanes, Asturias",ES,Europe,3,wild,43.458,-4.808,21,Jun-Sep,Fine pale sand,"Clear, cool Cantabrian blue",Cool and lively; some current on the open shell-shaped bay,Beach-break waves at the fringes,An undeveloped shell-shaped bay reached on a cliff path in green Asturias,false,undeveloped|cliffs|shell bay,"A perfect undeveloped shell of pale sand cupped by green Asturian cliffs, reached only on foot down a headland path.",https://europebeachmap.com/beaches/playa-de-torimbia-es/
praia-de-carnota-es,Praia de Carnota,"Carnota, Galicia",ES,Europe,3,wild,42.822,-9.093,17,Jun-Sep,Pale golden sand,"Clear, cold Atlantic blue",Cold and lively with Atlantic currents,Open Atlantic beach-break,"Galicia's longest beach, a wild seven-kilometre sweep of sand, dunes and marsh",false,wild|dunes|longest,"Galicia's longest beach — a wild seven-kilometre arc of sand, dunes and tidal marsh beneath the green Costa da Morte hills.",https://europebeachmap.com/beaches/praia-de-carnota-es/
hietaniemi-beach-fi,Hietaniemi Beach,Helsinki,FI,Europe,3,cold,60.171,24.909,17,Jun-Aug,Pale sand,"Shallow, calm Baltic blue","Shallow, calm and briefly summer-warm",None,Helsinki's beloved 'Hietsu' city beach with beach volleyball and a café,false,city beach|volleyball|summer,"Helsinki's beloved 'Hietsu' — the capital's summer heart of sand, beach volleyball and long Nordic evenings.",https://europebeachmap.com/beaches/hietaniemi-beach-fi/
kalajoki-hiekkasarkat-fi,Kalajoki Hiekkasärkät,"Kalajoki, Ostrobothnia",FI,Europe,3,cold,64.226,23.847,16,Jun-Aug,Wide golden dunes rolling into the Gulf of Bothnia,"Shallow, surprisingly warm Bothnian water in July",Very shallow — wade far out over rippled sand,None,"Finland's great dune coast, a resort town on the Gulf of Bothnia",false,dunes|midnight sun|family,Golden dunes at 64° north — Finland's improbable beach resort where the Bothnian shallows warm under the midnight sun.,https://europebeachmap.com/beaches/kalajoki-hiekkasarkat-fi/
nallikari-beach-fi,Nallikari Beach,"Oulu, North Ostrobothnia",FI,Europe,3,cold,65.0304,25.4092,16,Jun-Aug,"A long, gently curving sweep of fine pale sand",Nearly fresh — the Bothnian Bay is barely brackish — and quick to warm in July,An endless shallow wade; among the gentlest swims this far north,None,"On Hietasaari island at Oulu's edge, spa hotel behind the dunes; nightless nights in June, sea ice by January",false,white nights|shallow|spa,"Oulu's Riviera of the North — shallow, almost-fresh water and white-night bathing at 65°N.",https://europebeachmap.com/beaches/nallikari-beach-fi/
hanko-plagen-fi,Plagen Beach,Hanko,FI,Europe,3,cold,59.822,22.965,17,Jun-Aug,Soft pale sand between smooth granite outcrops,"Clear, brisk Baltic water","Gentle and shallow; Finland's warmest corner, relatively speaking",None,Finland's sunny southern spa town of ornate wooden villas,false,wooden villas|granite|spa town,Finland's riviera — pale sand and smooth granite below the ornate wooden villas of sunny Hanko.,https://europebeachmap.com/beaches/hanko-plagen-fi/
yyteri-beach-fi,Yyteri Beach,Pori,FI,Europe,3,cold,61.548,21.564,17,Jun-Aug,Fine pale sand and dunes,"Shallow, gentle Baltic blue",Very shallow and gently warming; wade far out,Occasional wind swell and kitesurfers,"Finland's largest sandy beach, a six-kilometre dune strand on the Gulf of Bothnia",true,dunes|shallow|Finland,Finland's largest beach — six kilometres of dunes and sand so shallow you can wade far into the Gulf of Bothnia.,https://europebeachmap.com/beaches/yyteri-beach-fi/
tjornuvik-fo,Tjornuvik,"Streymoy, Faroe Islands",FO,Europe,3,wild,62.289,-7.145,11,June to August,Dark grey-black sand in a bay at the island's northern end,"Cold, clear North Atlantic",For cold-water surfers and hardy swimmers only,A noted Faroese cold-water surf break,"A tiny turf-roofed village ringed by peaks, facing the Risin og Kellingin sea stacks",false,black sand|sea stacks|Faroese village|cold-water surf,"Black sand in an amphitheatre of peaks, gazing out at the Faroes' famous giant-and-witch sea stacks.",https://europebeachmap.com/beaches/tjornuvik-fo/
dune-du-pilat-fr,Dune du Pilat,"Pyla-sur-Mer, Arcachon",FR,Europe,1,exotic,44.5883,-1.2155,22,June-September,Vast pale sand at the foot of Europe's tallest dune,Cool Atlantic at the mouth of Arcachon Bay,"Strong currents near the Banc d'Arguin channel, caution advised",None,"A 100-metre wall of sand and pine forest above, the Banc d'Arguin sandbank offshore",false,dune|atlantic|dramatic|arcachon,"The beach at the foot of Europe's tallest sand dune, a hundred-metre mountain of sand sliding into the Atlantic.",https://europebeachmap.com/beaches/dune-du-pilat-fr/
la-graviere-fr,La Graviere,"Soorts-Hossegor, Landes",FR,Europe,1,surf,43.6738,-1.4409,22,September-October for autumn swells,Golden sand with a steep shorebreak and shifting banks,Powerful blue-green Atlantic,"Dangerous, heavy shorebreak and rips, strong swimmers only","World-class barreling beach break, host of pro-tour events",Open Landes dune coast lined with pine forest,false,surf|barrel|world-class|atlantic,"One of the planet's finest beach-break barrels, drawing the pro surf tour to Hossegor's shifting sandbanks each autumn.",https://europebeachmap.com/beaches/la-graviere-fr/
nice-beach-fr,Nice Beach,"Promenade des Anglais, Nice",FR,Europe,1,resort,43.6947,7.2695,25,Jun-Sep,"Smooth grey pebbles (galets) — no sand, a mat helps",Startlingly blue and clear for a big city; deepens fast,Shelves steeply into deep water; watch the shore-dump when swell runs,None,"Seven kilometres of open shingle below the Promenade des Anglais, Belle Époque hotels at your back",false,pebbles|city beach|promenade,"The Riviera's great city beach — grey pebbles, improbably blue water and the Promenade des Anglais above.",https://europebeachmap.com/beaches/nice-beach-fr/
plage-de-la-cote-des-basques-fr,Plage de la Cote des Basques,Biarritz,FR,Europe,1,surf,43.4745,-1.5688,22,"May-October, best surf in autumn",Dark golden sand that vanishes at high tide,"Green-blue Atlantic, often lively","Only at low to mid tide, strong currents and disappearing beach","Legendary longboard break, birthplace of European surfing",Backed by cliffs and Belle Epoque villas with views to the Spanish Pyrenees,false,surf|longboard|cliffs|atlantic,"The cradle of European surfing, a cliff-framed Atlantic beach where longboarders have carved swell since the 1950s.",https://europebeachmap.com/beaches/plage-de-la-cote-des-basques-fr/
palombaggia-fr,Plage de Palombaggia,Corsica,FR,Europe,1,tropical,41.554,9.32,25,Jun–Sep,Pale gold,Clear turquoise,"Warm, shallow, calm",None,Umbrella pines & red rocks,false,Pines|Snorkel|Family,Umbrella pines and red granite framing Corsica’s dreamiest sands.,https://europebeachmap.com/beaches/palombaggia-fr/
pampelonne-fr,Plage de Pampelonne,Saint-Tropez,FR,Europe,1,resort,43.229,6.66,24,Jun–Sep,Golden,Med blue,"Calm, warm",None,Legendary beach-club strip,false,Beach clubs|Yachts|Glamour,Five kilometres of Riviera glamour and the original celebrity beach clubs.,https://europebeachmap.com/beaches/pampelonne-fr/
calanque-den-vau-fr,Calanque d'En-Vau,Cassis,FR,Europe,2,wild,43.202,5.5014,23,June-September,Small white-pebble and coarse-sand cove,"Vivid emerald-turquoise, crystal clear","Calm and sheltered, deep and cool",None,Towering white limestone cliffs of the Calanques National Park,false,calanque|cliffs|hike-in|provence,"A cathedral of sheer white limestone walls plunging into emerald water, reached only on foot or by boat.",https://europebeachmap.com/beaches/calanque-den-vau-fr/
calanque-de-sormiou-fr,Calanque de Sormiou,Marseille,FR,Europe,2,wild,43.209,5.417,23,Jun-Sep,Pale sand and pebbles,"Deep, clear jade-blue",Deep and clear beneath the white limestone,None,A fjord-like limestone inlet in the Calanques National Park,false,calanque|limestone|hike-in,"A fjord-like limestone inlet of jade water and pale cliffs in the Calanques park, reached on foot or by boat from Marseille.",https://europebeachmap.com/beaches/calanque-de-sormiou-fr/
etretat-fr,Étretat Beach,Normandy,FR,Europe,2,wild,49.707,0.207,19,Jun–Sep,White pebble,Cool Channel,"Cold, pebbly",None,Chalk cliffs & arches,false,Sea arches|Cliff walk|Art history,The chalk arches and needle that Monet painted again and again.,https://europebeachmap.com/beaches/etretat-fr/
biarritz-pt,Grande Plage,Biarritz,FR,Europe,2,surf,43.483,-1.56,22,Jun–Oct,Golden,Atlantic,"Patrolled, rips",Europe’s surf birthplace,Belle-Époque resort,false,Surf|Casino|Thalasso,The elegant Basque resort where European surfing began.,https://europebeachmap.com/beaches/biarritz-pt/
grande-plage-des-sables-d-olonne-fr,Grande Plage des Sables-d'Olonne,"Les Sables-d'Olonne, Vendée",FR,Europe,2,resort,46.4924,-1.7799,20,Jun-Sep,"Fine pale-gold sand, enormous at low tide","Clean green-blue Atlantic, calmer than most of this coast","Gently shelving, sheltered by the harbour channel and patrolled all summer — a safe family swim",Usually small; surfers head around the corner to Tanchet,A perfect town-hugging crescent under the Remblai promenade of the Vendée Globe port,false,promenade|family|sailing,The Vendée Globe town's front garden — a safe golden crescent beneath the Remblai promenade.,https://europebeachmap.com/beaches/grande-plage-des-sables-d-olonne-fr/
omaha-beach-fr,Omaha Beach,Normandy,FR,Europe,2,cold,49.37,-0.871,18,May-Sep,Wide flat golden sand,"Cool, calm Channel blue",Shallow and calm at high tide; vast flats at low tide,None,"A vast, solemn D-Day landing beach backed by memorials and a cemetery",false,D-Day|history|memorial,"A vast, wind-swept strand of huge tides and deep history — the most storied of the 1944 D-Day landing beaches.",https://europebeachmap.com/beaches/omaha-beach-fr/
paloma-beach-fr,Paloma Beach,Saint-Jean-Cap-Ferrat,FR,Europe,2,resort,43.6861,7.3422,25,June-September,"Pebble-and-shingle cove, part public and part private club",Clear deep-blue Mediterranean,"Calm, clear and sheltered in the anse",None,"The glamorous Cap Ferrat peninsula, a chic beach club and villa-lined shore",false,riviera|chic|cove|cap-ferrat,"A chic Riviera cove on billionaires' Cap Ferrat, where a celebrated beach club meets clear Mediterranean blue.",https://europebeachmap.com/beaches/paloma-beach-fr/
plage-d-argeles-sur-mer-fr,Plage d'Argelès-sur-Mer,"Argelès-sur-Mer, Roussillon",FR,Europe,2,resort,42.5572,3.0477,23,Jun-Sep,"Seven kilometres of fine grey-gold sand, wide and gently sloped","Warm, clear Mediterranean blue",Long shallow entry with supervised posts all summer — built for children,None; windsurf chop when the tramontane blows,"Europe's campsite capital, a pine-lined promenade at the front and the Albères dropping the Pyrenees into the sea just south",false,family|campsites|pyrenees views,The Roussillon family shore — seven gentle kilometres where the Pyrenees finally meet the Med.,https://europebeachmap.com/beaches/plage-d-argeles-sur-mer-fr/
